epoch,Validation MSE loss,Train MSE loss
0,0.7350048573017121,0.13754768949002028
1,0.7315503774881363,0.13420561235398054
2,0.7280749691724777,0.13084689527750015
3,0.7247945693731308,0.12767890049144626
4,0.721727753520012,0.12472074571996927
5,0.7188591879606246,0.12195746507495642
6,0.7161707068681717,0.11936993710696697
7,0.7136452610492706,0.11694203736260533
8,0.7112689386606217,0.1146599231287837
9,0.709029196023941,0.11251151841133833
10,0.7069156637191772,0.11048643570393324
11,0.7049209588766098,0.10857787309214473
12,0.7030452145338059,0.10678569925948977
13,0.7013045718669891,0.10512551572173834
14,0.6997153941392898,0.10360928112640977
15,0.6982235114574432,0.10218768147751689
16,0.6968081858158112,0.1008406151086092
17,0.6954629147052764,0.09956170944496989
18,0.6941861526966095,0.09834936494007707
19,0.692986364722252,0.0972113055177033
20,0.6918472510576248,0.09613233245909214
21,0.6907617498636246,0.09510565269738436
22,0.6897263962030411,0.09412757586687803
23,0.6887383507490158,0.093195547349751
24,0.6877951321601867,0.09230696968734264
25,0.6868943928480148,0.09145973017439246
26,0.686033991932869,0.09065150003880262
27,0.6852119256258011,0.08988044457510114
28,0.6844263221025467,0.08914463967084885
29,0.6836754217147827,0.08844246063381433
30,0.6829575569629669,0.08777223946526647
31,0.6822711290121078,0.08713238639757037
32,0.6816145650148392,0.08652140712365508
33,0.6809864200353622,0.08593783248215914
34,0.6803853576183319,0.0853803688660264
35,0.679810075879097,0.0848477240651846
36,0.6792593842744827,0.08433875301852822
37,0.6787321412563324,0.08385230042040348
38,0.6782272770404816,0.08338736370205879
39,0.6777437784671784,0.0829429179430008
40,0.6772806755304337,0.08251803275197744
41,0.6768370584249497,0.08211178286001086
42,0.676412056684494,0.08172336732968688
43,0.6760048371553421,0.08135196706280112
44,0.6756146196126938,0.08099676063284278
45,0.675240659236908,0.08065706491470337
46,0.6748822441101074,0.08033221261575818
47,0.67453868663311,0.08002146938815713
48,0.6742093383073807,0.07972425920888782
49,0.6738935928344727,0.07943994551897049